id,asin,title,imgUrl,productURL,stars,reviews,price,isBestSeller,boughtInLastMonth,categoryName,categoryId
280,B0CHJX17DF,"Wouke Womens Slip on Trainers,Womens Safety Shoes Steel Toe Cap Womens Black Cross Strap Ballerina Unisex Slip On Slippers Women's Summer Braided Strappy Beaded Wedge Sandals",https://m.media-amazon.com/images/I/61VmWKJqeAL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CHJX17DF,0.0,0,12.19,False,0,Ballet & Dancing Footwear,20
282,B0CH8J3ZH8,"Wouke Womens ladies low mid block heel casual party evening sandals,Womens Winter Faux Leather Boots Women's Fleece-Lined Clogs Ankis Closed Toe Heels",https://m.media-amazon.com/images/I/51RFm72sK+L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CH8J3ZH8,0.0,0,43.59,False,0,Ballet & Dancing Footwear,20
284,B0CGR73VWX,2024 New -Style Fashion Fashion Latin Dancing Shoes Women Ballroom Dance Sandals Prom Women's Sandals Slipper for Women Sandal,https://m.media-amazon.com/images/I/61NgZhHlwiL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CGR73VWX,0.0,0,6.27,False,0,Ballet & Dancing Footwear,20
286,B00AOL91RS,Bloch Economy Jazz Tap Shoe 2.5 Black,https://m.media-amazon.com/images/I/61QGTuWdH7L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B00AOL91RS,4.7,3,25.95,False,0,Ballet & Dancing Footwear,20
288,B0CHY756YG,"Wouke Swim Water Shoes,Shoes Mens Womens Slip Sneakers Women's Wide Width Shoes Women's Angel Slipper Walking Sandals for Womens Womens Cotton Lined",https://m.media-amazon.com/images/I/615hEJgwVbL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CHY756YG,0.0,0,20.59,False,0,Ballet & Dancing Footwear,20
0,B0BVBQMTPW,JINGAN Shoes Latin Dance Shoes Ballroom Salsa Women's Dance Prom Women's High Heels Girls Wedge Sandals Size 6,https://m.media-amazon.com/images/I/51ZELQEFlVL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BVBQMTPW,5.0,4,13.89,False,0,Ballet & Dancing Footwear,20
292,B09P8CMSKT,Geyoga Shoe Socks 4 Pairs The Dance Socks for Smooth Floors Dance Shoe Covers Shoes Dance Sliders Wood Floors Dance Cover for Protecting Knee Dance on Smooth Floor,https://m.media-amazon.com/images/I/719BNVZyhFL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09P8CMSKT,4.3,154,20.53,False,0,Ballet & Dancing Footwear,20
294,B07KM81Y6N,"Awans Pure Leather, Split Suede Sole, Rubber Heel, Jazz Dance Shoes, Tan/Pink Shade",https://m.media-amazon.com/images/I/71xz9sGnE-L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B07KM81Y6N,2.5,2,6.99,False,0,Ballet & Dancing Footwear,20
296,B0062WGLOO,Roch Valley AJSS Suede Sole Jazz Shoes,https://m.media-amazon.com/images/I/51yca4UDz7L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0062WGLOO,0.0,0,19.15,False,0,Ballet & Dancing Footwear,20
298,B0CHMGR4LS,Ballet Shoes Children Gymnastics Dance Shoes Girls Soft Sole Adult Folk Dance Beginners PU Leather Pink Ballet Training Shoes for Women Dance Slippers for Girls Toddlers Women.,https://m.media-amazon.com/images/I/41ctW1Hm88L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CHMGR4LS,0.0,0,18.93,False,0,Ballet & Dancing Footwear,20
